Date,Name,NAV
01/15/2019,Fidelity Index World P Acc,1.6948,
01/16/2019,Fidelity Index World P Acc,1.7085,
01/17/2019,Fidelity Index World P Acc,1.7057,
01/18/2019,Fidelity Index World P Acc,1.7176,
01/21/2019,Fidelity Index World P Acc,1.7397,
01/22/2019,Fidelity Index World P Acc,1.7275,
01/23/2019,Fidelity Index World P Acc,1.7003,
01/24/2019,Fidelity Index World P Acc,1.7031,
01/25/2019,Fidelity Index World P Acc,1.7071,
01/28/2019,Fidelity Index World P Acc,1.7028,
01/29/2019,Fidelity Index World P Acc,1.6943,
01/30/2019,Fidelity Index World P Acc,1.7019,
01/31/2019,Fidelity Index World P Acc,1.7231,
02/01/2019,Fidelity Index World P Acc,1.7374,
02/04/2019,Fidelity Index World P Acc,1.7396,
02/05/2019,Fidelity Index World P Acc,1.7587,
02/06/2019,Fidelity Index World P Acc,1.7727,
02/07/2019,Fidelity Index World P Acc,1.7659,
02/08/2019,Fidelity Index World P Acc,1.7404,
02/11/2019,Fidelity Index World P Acc,1.7543,
02/12/2019,Fidelity Index World P Acc,1.7756,
02/13/2019,Fidelity Index World P Acc,1.7739,
02/14/2019,Fidelity Index World P Acc,1.7968,
02/15/2019,Fidelity Index World P Acc,1.7926,
02/18/2019,Fidelity Index World P Acc,1.797,
02/19/2019,Fidelity Index World P Acc,1.7952,
02/20/2019,Fidelity Index World P Acc,1.7894,
02/21/2019,Fidelity Index World P Acc,1.7892,
02/22/2019,Fidelity Index World P Acc,1.7966,
02/25/2019,Fidelity Index World P Acc,1.7968,
02/26/2019,Fidelity Index World P Acc,1.7741,
02/27/2019,Fidelity Index World P Acc,1.7615,
02/28/2019,Fidelity Index World P Acc,1.763,
03/01/2019,Fidelity Index World P Acc,1.7799,
03/04/2019,Fidelity Index World P Acc,1.7839,
03/05/2019,Fidelity Index World P Acc,1.7791,
03/06/2019,Fidelity Index World P Acc,1.7826,
03/07/2019,Fidelity Index World P Acc,1.7749,
03/08/2019,Fidelity Index World P Acc,1.7586,
03/11/2019,Fidelity Index World P Acc,1.7718,
03/12/2019,Fidelity Index World P Acc,1.7865,
03/13/2019,Fidelity Index World P Acc,1.7805,
03/14/2019,Fidelity Index World P Acc,1.7798,
03/15/2019,Fidelity Index World P Acc,1.7872,
03/18/2019,Fidelity Index World P Acc,1.7898,
03/19/2019,Fidelity Index World P Acc,1.7967,
03/20/2019,Fidelity Index World P Acc,1.8005,
03/21/2019,Fidelity Index World P Acc,1.8035,
03/22/2019,Fidelity Index World P Acc,1.8094,
03/25/2019,Fidelity Index World P Acc,1.7785,
03/26/2019,Fidelity Index World P Acc,1.7841,
03/27/2019,Fidelity Index World P Acc,1.7857,
03/28/2019,Fidelity Index World P Acc,1.7924,
03/29/2019,Fidelity Index World P Acc,1.8062,
04/01/2019,Fidelity Index World P Acc,1.8222,
04/02/2019,Fidelity Index World P Acc,1.8389,
04/03/2019,Fidelity Index World P Acc,1.8325,
04/04/2019,Fidelity Index World P Acc,1.8325,
04/05/2019,Fidelity Index World P Acc,1.8462,
04/08/2019,Fidelity Index World P Acc,1.8549,
04/09/2019,Fidelity Index World P Acc,1.8537,
04/10/2019,Fidelity Index World P Acc,1.8448,
04/11/2019,Fidelity Index World P Acc,1.8486,
04/12/2019,Fidelity Index World P Acc,1.8572,
04/15/2019,Fidelity Index World P Acc,1.8576,
04/16/2019,Fidelity Index World P Acc,1.8608,
04/17/2019,Fidelity Index World P Acc,1.8684,
04/18/2019,Fidelity Index World P Acc,1.8688,
04/23/2019,Fidelity Index World P Acc,1.873,
04/24/2019,Fidelity Index World P Acc,1.8931,
04/25/2019,Fidelity Index World P Acc,1.8939,
04/26/2019,Fidelity Index World P Acc,1.8901,
04/29/2019,Fidelity Index World P Acc,1.8958,
04/30/2019,Fidelity Index World P Acc,1.8879,
05/01/2019,Fidelity Index World P Acc,1.8831,
05/02/2019,Fidelity Index World P Acc,1.8728,
05/03/2019,Fidelity Index World P Acc,1.8754,
05/07/2019,Fidelity Index World P Acc,1.857,
05/08/2019,Fidelity Index World P Acc,1.8424,
05/09/2019,Fidelity Index World P Acc,1.8407,
05/10/2019,Fidelity Index World P Acc,1.8399,
05/13/2019,Fidelity Index World P Acc,1.8253,
05/14/2019,Fidelity Index World P Acc,1.827,
05/15/2019,Fidelity Index World P Acc,1.8348,
05/16/2019,Fidelity Index World P Acc,1.8662,
05/17/2019,Fidelity Index World P Acc,1.8783,
05/20/2019,Fidelity Index World P Acc,1.8657,
05/21/2019,Fidelity Index World P Acc,1.883,
05/22/2019,Fidelity Index World P Acc,1.8899,
